Link,Title,Authors,Publication Date,Journal Title,Abstract
https://www.nature.com/articles/s41416-024-02857-7,Association of metabolic obesity phenotypes with risk of overall and site-specific cancers: a systematic review and meta-analysis of cohort studies,"['Yahya Mahamat-saleh', 'Dagfinn Aune', 'Heinz Freisling', 'Sheetal Hardikar', 'Rola Jaafar', 'Sabina Rinaldi', 'Marc J. Gunter', 'Laure Dossus']",2024-09-24,British Journal of Cancer,"Adiposity is a known risk factor for certain cancers; however, it is not clear whether the risk of cancer differs between individuals with high adiposity but different metabolic health status. The aim of this systematic literature review and meta-analysis of cohort studies was to evaluate associations between metabolic obesity phenotypes and overall and site-specific cancer risk."
https://www.nature.com/articles/s41598-024-73346-3,Association of female sex with cataract surgery in the general population but not in plaque brachytherapy-treated uveal melanoma patients,"['Anna Hagström', 'Shiva Sabazade', 'Viktor Gill', 'Gustav Stålhammar']",2024-09-24,Scientific Reports,"Cataract is a leading cause of blindness worldwide, necessitating a deeper understanding of its risk factors. We analyzed two cohorts: 1000 individuals from the general Swedish population and 933 patients who received plaque brachytherapy for uveal melanoma. Using Kaplan-Meier and cumulative incidence analyses, as well as Cox and competing risk regressions, we assessed whether there is a relationship between sex and cataract surgery. In the general population, female sex was a significant risk factor for cataract surgery, with a 10-year incidence of 16% compared to 10% for males (subdistribution hazard ratio adjusted for age, 1.35, P < 0.001). In the brachytherapy cohort, female sex was not associated with an increased incidence of cataract surgery, with a 10-year incidence of 25% versus 23% for males (HR 1.08, P = 0.61). Visual acuity at the time of cataract surgery did not significantly differ between sexes in either cohort, suggesting that differences in surgery rates are not due to health-seeking behavior or surgery assessment thresholds. These findings indicate that female sex is associated with a higher risk of cataract surgery in the general population, but not among those treated with plaque brachytherapy for uveal melanoma."
https://www.nature.com/articles/s41523-024-00689-5,Survival outcomes after omission of surgery for ductal carcinoma in situ,"['Elizabeth C. Poli', 'Wenli Dong', 'Simona F. Shaitelman', 'Nina Tamirisa', 'Yu Shen', 'Isabelle Bedrosian']",2024-09-20,npj Breast Cancer,"Clinical trials of active surveillance (AS) for Ductal Carcinoma in Situ (DCIS) are underway. We sought to understand the historical management of biologically favorable DCIS and to determine the outcomes of patients who did not have immediate surgery. Using data from the NCDB from 2004 to 2017, the selected cohort included women >40 years of age, with low or intermediate grade and hormone receptor (HR) positive DCIS. AS was defined as either no surgery or surgery >12 months from diagnosis. Women in the AS group were compared to women who had immediate surgery. A Cochran-Armitage test was used to assess the trend of AS over year of diagnosis. Kaplan-Meier curves were estimated to compare overall survival (OS), stratified by age (<50, 50–64, ≥65), and Cox proportional hazard models were used to determine the effects of prognostic factors on survival distributions. 74,367 women met study inclusion criteria; 2384 (3.2%) were treated with AS. The proportion of patients in the AS cohort increased yearly, peaking in 2017 at 4.2% (p < 0.01). On multivariable analysis, increasing age (OR 1.02, p < 0.01), black race (OR 1.7, p < 0.001), and being uninsured (OR 2.2, p < 0.001) were associated with increased likelihood of AS. In women <50 years of age, OS outcomes were similar, with 10-year OS of 97.4% in the immediate surgery cohort versus 99.1% in AS cohort (p = 0.43). The proportion of patients with DCIS treated with AS has remained small but is increasing over time. AS of biologically favorable DCIS in younger, healthier women is not associated with adverse survival."
https://www.nature.com/articles/s41416-024-02859-5,Dual-modified antisense oligonucleotides targeting oncogenic protocadherin to treat gastric cancer,"['Mitsuro Kanda', 'Yuuya Kasahara', 'Dai Shimizu', 'Takahiro Shinozuka', 'Masahiro Sasahara', 'Shunsuke Nakamura', 'Yohei Iguchi', 'Masahisa Katsuno', 'Yasuhiro Kodera', 'Satoshi Obika']",2024-09-20,British Journal of Cancer,The objective of this study was to develop an innovative treatment strategy utilizing antisense oligonucleotides (ASOs) that target the gene encoding protocadherin alpha 11 (PCDHA11) and to elucidate the role of PCDHA11 in gastric cancer cells.
https://www.nature.com/articles/s41598-024-73064-w,Heterogeneous expression of the atypical chemokine receptor ACKR3 in glioblastoma patient-derived tissue samples and cell cultures,"['Damla Isci', 'Amandine Kuppens', 'Joshua Scalisi', 'Julie Cokaiko', 'Giulia D’Uonnolo', 'May Wantz', 'Martyna Szpakowska', 'Andy Chevigné', 'Bernard Rogister', 'Virginie Neirinckx']",2024-09-20,Scientific Reports,"Glioblastoma (GBM) is the most aggressive glial tumor of the adult brain, associated with invariably fatal outcome, and a deeper understanding of the underlying malignant mechanisms is necessary to address the current therapeutic failure. We previously demonstrated the role of the CXCL12/CXCR4 axis in GBM cell migration and resistance to ionizing radiation. The atypical chemokine receptor ACKR3, responsible for CXCL12 scavenging, was previously suggested as additional important player in the context of GBM. Following validation of the detection tools, we observed that ACKR3 is expressed within GBM patient tumor tissue, distributed in diverse cell types. In contrast to CXCR4, ACKR3 expression in patient-derived stem-like cells (GSCs) remains however low, while ACKR3 gene expression by tumor cells appears to be modulated by the in-vivo environment. Using overexpression models, we also showed that in vitro ACKR3 had no significant direct effect on cell proliferation or invasion. Altogether, these results suggest that in vitro ACKR3 plays a minor role in malignant GBM cell biology and that its expression is possibly regulated by in-vivo influences. The subtle and multifaceted functions ACKR3 could exert in GBM should therefore only be tackled within a comprehensive tumor microenvironment considering tumoral but also non-tumoral cells."
https://www.nature.com/articles/s41416-024-02839-9,Comparison of methods for cancer stem cell detection in prognosis of early stages NSCLC,"['Boutaîna Chandouri', 'Thomas Naves', 'May Yassine', 'Léa Ikhlef', 'Jérémy Tricard', 'Alain Chaunavel', 'Zeinab Homayed', 'Julie Pannequin', 'Nicolas Girard', 'Stéphanie Durand', 'Vincent Carré', 'Fabrice Lalloué']",2024-09-20,British Journal of Cancer,"Despite advances in diagnosis and treatment in lung cancer, therapies still fail to improve patient management due to resistance mechanisms and relapses. As Cancer stem cells (CSCs) directly contribute to tumor growth and therapeutic resistance, their clinical detection represents a major challenge. However specific and additional CSC markers lack. Thus, our aim was to achieve selective detection of CSCs with specific glycan patterns and assess the CSCs burden to predict the risk of relapse in NSCLC tumors."
https://www.nature.com/articles/s41598-024-73020-8,Mcl-1 expression is a predictive marker of response to gemcitabine plus nab-paclitaxel for metastatic pancreatic cancer,"['Makiko Urabe', 'Kenji Ikezawa', 'Yusuke Seiki', 'Ko Watsuji', 'Yasuharu Kawamoto', 'Takeru Hirao', 'Yugo Kai', 'Ryoji Takada', 'Takuo Yamai', 'Kaori Mukai', 'Tasuku Nakabori', 'Hiroyuki Uehara', 'Shigenori Nagata', 'Kazuyoshi Ohkawa']",2024-09-20,Scientific Reports,"Antiapoptotic protein, including Mcl-1, expression is frequently observed in pancreatic cancer. Gemcitabine plus nabpaclitaxel (GnP) is the standard chemotherapy for metastatic pancreatic cancer (MPC); however, predictive markers for its efficacy remain unestablished. This study evaluated the association between GnP’s therapeutic effects and Mcl-1 expression in tissue samples obtained using endoscopic ultrasound-guided fine-needle aspiration (EUS-FNA) for pancreatic tumor or percutaneous ultrasound-guided biopsy for metastatic liver tumor. We retrospectively reviewed 38 patients with histologically diagnosed MPC who received GnP as the first-line chemotherapy at our institute between December 2014 and July 2018. Post-immunohistochemistry analysis for Mcl-1 expression detection, patients were divided to into two groups based on the cell proportion showing Mcl-1 immunoreactivity: positive (> 20%; 23 [60.5%] patients) and negative (≤ 20%; 15 [39.5%] patients) groups. Clinical characteristics did not differ between the two groups. The Mcl-1 positive group showed a significantly higher disease control rate (95.7% vs. 73.3%; P = 0.046), longer progressionfree survival (PFS) (7.2 months vs. 4.9 months; P = 0.018) and longer overall survival (OS) (14.9 months vs. 9.2 months; P = 0.008) than the Mcl-1 negative group. Multivariate analysis showed that Mcl-1 expression was an independent predictive marker for PFS and OS. Mcl-1 expression could be a predictive marker for favorable response to GnP."
https://www.nature.com/articles/s43018-024-00811-3,Glutaminase inhibition in combination with azacytidine in myelodysplastic syndromes: a phase 1b/2 clinical trial and correlative analyses,"['Courtney D. DiNardo', 'Divij Verma', 'Natalia Baran', 'Tushar D. Bhagat', 'Anna Skwarska', 'Alessia Lodi', 'Kapil Saxena', 'Tianyu Cai', 'Xiaoping Su', 'Veronica A. Guerra', 'Gowri Poigaialwar', 'Vinitha M. Kuruvilla', 'Sergej Konoplev', 'Shanisha Gordon-Mitchell', 'Kith Pradhan', 'Srinivas Aluri', 'G. Lavender Hackman', 'Sovira Chaudhry', 'Meghan Collins', 'Shannon R. Sweeney', 'Jonathan Busquets', 'Atul Singh Rathore', 'Qing Deng', 'Michael R. Green', 'Steven Grant', 'Susan Demo', 'Gaurav S. Choudhary', 'Srabani Sahu', 'Beamon Agarwal', 'Mason Spodek', 'Victor Thiruthuvanathan', 'Britta Will', 'Ulrich Steidl', 'George D. Tippett', 'Jan Burger', 'Gautam Borthakur', 'Elias Jabbour', 'Naveen Pemmaraju', 'Tapan Kadia', 'Steven Kornblau', 'Naval G. Daver', 'Kiran Naqvi', 'Nicholas J. Short', 'Guillermo Garcia-Manero', 'Stefano Tiziani', 'Amit Verma', 'Marina Konopleva']",2024-09-19,Nature Cancer,"Malignancies are reliant on glutamine as an energy source and a facilitator of aberrant DNA methylation. We demonstrate preclinical synergy of telaglenastat (CB-839), a selective glutaminase inhibitor, combined with azacytidine (AZA), followed by a single-arm, open-label, phase 1b/2 study in persons with advanced myelodysplastic syndrome (MDS). The dual primary endpoints evaluated clinical activity, safety and tolerability; secondary endpoints evaluated pharmacokinetics, pharmacodynamics, overall survival, event-free survival and duration of response. The dose-escalation study included six participants and the dose-expansion study included 24 participants. Therapy was well tolerated and led to an objective response rate of 70% with (marrow) complete remission in 53% of participants and a median overall survival of 11.6 months, with evidence of myeloid differentiation in responders determined by single-cell RNA sequencing. Glutamine transporter solute carrier family 38 member 1 in MDS stem cells was associated with clinical responses and predictive of worse prognosis in a large MDS cohort. These data demonstrate the safety and efficacy of CB-839 and AZA as a combined metabolic and epigenetic approach in MDS. ClinicalTrials.gov identifier: NCT03047993."
https://www.nature.com/articles/s41598-024-72592-9,The study of plain CT combined with contrast-enhanced CT-based models in predicting malignancy of solitary solid pulmonary nodules,"['Wenjia Zhang', 'Xiaonan Cui', 'Jing Wang', 'Sha Cui', 'Jianghua Yang', 'Junjie Meng', 'Weijie Zhu', 'Zhiqi Li', 'Jinliang Niu']",2024-09-19,Scientific Reports,"To compare the diagnostic performance between plain CT-based model and plain plus contrast CT-based modelin the classification of malignancy for solitary solid pulmonary nodules. Between January 2012 and July 2021, 527 patients with pathologically confirmed solitary solid pulmonary nodules were collected at dual centers with similar CT examinations and scanning parameters. Before surgery, all patients underwent both plain and contrast-enhanced chest CT scans. Two clinical characteristics, fifteen plain CT characteristics, and four enhanced characteristics were used to develop two logistic regression models: model 1 (plain CT only) and model 2 (plain + contrast CT). The diagnostic performance of the two models was assessed separately in the development and external validation cohorts using the AUC. 392 patients from Center A were included in the training cohort (median size, 20.0 [IQR, 15.0–24.0] mm; mean age, 55.8 [SD, 9.9] years; male, 53.3%). 135 patients from Center B were included in the external validation cohort (median size, 20.0 [IQR, 16.0–24.0] mm; mean age, 56.4 [SD, 9.6] years; male, 51.9%). Preoperative patients with 201 malignant (adenocarcinoma, 148 [73.6%]; squamous cell carcinoma, 35 [17.4%]; large cell carcinoma,18 [9.0%]) and 326 benign (pulmonary hamartoma, 118 [36.2%]; sclerosing pneumocytoma, 35 [10.7%]; tuberculosis, 104 [31.9%]; inflammatory pseudonodule, 69 [21.2%]) solitary solid pulmonary nodules were gathered from two independent centers. The mean sensitivity, specificity, accuracy, PPV, NPV, and AUC (95%CI) of model 1 (Plain CT only) were 0.79, 0.78, 0.79, 0.67, 0.87, and 0.88 (95%CI, 0.82–0.93), the model 2 (Plain + Contrast CT) were 0.88, 0.91, 0.90, 0.84, 0.93, 0.93 (95%CI, 0.88–0.98) in external validation cohort, respectively. A logistic regression model based on plain and contrast-enhanced CT characteristics showed exceptional performance in the evaluation of malignancy for solitary solid lung nodules. Utilizing this contrast-enhanced CT model would provide recommendations concerning follow-up or surgical intervention for preoperative patients presenting with solid lung nodules."
https://www.nature.com/articles/s41598-024-67246-9,Effect of body mass index on post-treatment oral function in patients with oral cancer: a cross-sectional study,"['Yukiho Shimamura', 'Yuhei Matsuda', 'Mayu Takeda', 'Reon Morioka', 'Tatsuhito Kotani', 'Takahiro Kanno']",2024-09-19,Scientific Reports,"This single-center cross-sectional study used sequential sampling to examine the influence of body mass index (BMI) on oral function after oral cancer treatment. Patients who completed primary oral cancer treatment between September 2019 and March 2023 (102 patients, 74 male [72.5%] and 28 female [27.5%]; mean age, 69.6 years) were analyzed. Patient background data were collected from electronic medical records. Post-treatment oral function measurements were conducted on all patients using six assessment tools. Statistical analysis was conducted using Pearson’s correlation coefficient, one-way analysis of variance, the Jonckheere–Terpstra test, and multiple linear regression. Pre-treatment BMI showed a statistically significant relationship with postoperative oral function, particularly tongue pressure (P = 0.01). While the mean values of the groups showed no significant differences, the Jonckheere–Terpstra test revealed a statistically significant trend toward a stepwise increase in tongue pressure for each BMI group (P = 0.03). Multiple linear regression analysis revealed a statistically significant correlation between tongue pressure and pre-treatment BMI (P < 0.05). Pre-treatment BMI was significantly associated with tongue pressure. Since BMI is a variable factor that can be controlled by nutritional therapy even before treatment, nutritional intervention, weight control, and treatment strategies including reconstructive interventions to maintain tongue pressure may be important in oral cancer treatment."
